id,cn,l,l160,l320,prov,can,organic,grass,btest,bfree,rp
163,-.6636355876198504,4.147858034051451,4.204088976701625,3.354431755200908,5.072856033640881,4.456559632139638,-2.099480978119916,-.5344304766674813,.868349086777838,4.067717775040451,1
167,-7.650940587586128,4.288619864111842,4.180566460271351,2.765537682456386,5.216209814026496,4.510279548235372,-.3588647485276297,-.1011655853517223,1.307217231543002,4.214106778372604,1
171,-18.73250299804978,4.818543325944991,3.908736400091872,3.343905723948372,5.258919493644091,4.436441414436366,.7973573337305697,-.5520318600143812,.5353528503701935,1.426094457736954,1
172,-18.51847344131976,5.209719999619211,3.697751853311085,3.301484690881979,5.335325528191905,4.448184614432644,.0651241256847739,.991820901847708,1.251836877475367,1.182468454612594,1
176,4.486720169116006,4.321561073680467,3.915741815394317,3.378167872412555,5.208137116875444,4.458585881822936,-.4806554174602592,.3404313027766562,1.282593746418255,2.552934283263928,1
177,-7.925288406434118,4.627365693560698,3.904298491347048,3.512564321666447,5.264503847719568,4.440136697542749,1.872720772325326,1.229491794852063,1.257800427865684,2.388257986790445,1
178,-16.94944977342814,4.88884975110189,3.584864712899498,4.033730793850067,5.26536871472537,4.458005804564374,.4185040461498987,1.235151527484957,.8555151513690794,6.344813628021178,1
179,-1.400643212362724,4.08391424883188,3.879397059431701,3.211629127657359,5.231232092308525,4.485152382751385,-.1837130176472744,-.3668541875015933,1.227784243999499,3.081642114960573,1
180,-18.00305542030867,3.14077505688521,4.620026512864814,3.367120093132764,5.210463457754677,4.418132964186361,1.877030430075414,-.141244833339424,3.315964547743933,1.33977858900106,1
181,-7.747906957428432,4.112885158816961,3.89793454500732,4.410451148209971,5.262462607414291,4.46410419971911,-1.501767346446489,-1.15951776626694,2.674831122989886,2.414098023290403,1
184,-18.9707737062169,3.990540259927947,3.81400330297017,3.027381692012418,5.240694033702298,4.460844735912648,-2.583810167324539,2.860247174603375,1.265828024202707,2.924724964043486,1
190,-17.90989395922973,3.879295925813478,4.031096979003631,4.36909976235567,5.255109273638365,4.401249492531061,-3.637245517606739,2.482976844845022,1.636726044769932,1.929286855025111,1
192,3.611401047543419,4.097549971094124,4.020307414276805,3.325142608841428,5.223284891244773,4.477128905533259,-.2009607317834217,.2822272553365038,1.360886297845991,2.35799951935781,1
193,4.543889425348304,4.110513544774023,3.998824922397494,3.43056941367694,5.212383479153565,4.45375205468852,-.6518291218905996,.0999676379072832,1.418308876811309,2.23917035471968,1
194,-17.73936905709284,4.04456234085832,3.904950675794897,3.38823967942518,5.255584931592907,4.446887850371536,1.309901455881763,-.2961793715371529,.8985412789554273,5.728934000112781,1
195,4.48879912154319,4.274490329177562,3.981454029405359,3.369120648802608,5.275269343699734,4.44243304165399,.0673663711408597,.4389116250000592,1.464614099888343,2.228995972363303,1
